Source File,Reference,Link Text,Status,Issue Type
README.md,docs/intro-to-prompts.md,Introduction to Prompts,OK,File exists
README.md,docs/prompt-effectiveness-scoring-methodology.md,Prompt Effectiveness Methodology,OK,File exists
README.md,docs/prompt-effectiveness-scoring-methodology.md,View Scoring Methodology →,OK,File exists
README.md,docs/ultimate-prompting-guide.md,Explore the Ultimate Prompting Guide →,OK,File exists
README.md,docs/ultimate-prompting-guide.md,Ultimate Prompting Guide,OK,File exists
agents\AGENTS_GUIDE.md,../CONTRIBUTING.md,Contributing Guidelines,OK,File exists
agents\AGENTS_GUIDE.md,../docs/ultimate-prompting-guide.md,Prompt Engineering Guide,OK,File exists
agents\AGENTS_GUIDE.md,./README.md,Pre-built Agents,OK,File exists
agents\AGENTS_GUIDE.md,./README.md,pre-built agents,OK,File exists
agents\README.md,../CONTRIBUTING.md,CONTRIBUTING.md,OK,File exists
concepts\about-advanced-patterns.md,../docs/prompt-effectiveness-scoring-methodology.md,Prompt Effectiveness,OK,File exists
concepts\about-advanced-patterns.md,../get-started/choosing-the-right-pattern.md,Choosing the Right Pattern,OK,File exists
concepts\about-advanced-patterns.md,../guides/best-practices.md,Zero-Shot vs. Few-Shot Selection,OK,File exists
concepts\about-advanced-patterns.md,../techniques/README.md,Chain-of-Thought Techniques,OK,File exists
concepts\about-advanced-patterns.md,./about-prompt-engineering.md,About Prompt Engineering,OK,File exists
docs\ARCHITECTURE_PLAN.md,CONSOLIDATED_IMPROVEMENT_PLAN.md,CONSOLIDATED_IMPROVEMENT_PLAN.md,OK,File exists
docs\COMPREHENSIVE_PROMPT_DEVELOPMENT_GUIDE.md,../concepts/prompt-anatomy.md,Prompt Anatomy,OK,File exists
docs\COMPREHENSIVE_PROMPT_DEVELOPMENT_GUIDE.md,../prompts/system/prompt-quality-evaluator.md,Prompt Quality Evaluator,OK,File exists
docs\COMPREHENSIVE_PROMPT_DEVELOPMENT_GUIDE.md,../reference/cheat-sheet.md,Reference Cheat Sheet,OK,File exists
docs\COMPREHENSIVE_PROMPT_DEVELOPMENT_GUIDE.md,../testing/evals/README.md,GitHub Models Evaluation System,OK,File exists
docs\COMPREHENSIVE_PROMPT_DEVELOPMENT_GUIDE.md,best-practices.md,Best Practices,OK,File exists
docs\COMPREHENSIVE_PROMPT_DEVELOPMENT_GUIDE.md,ultimate-prompting-guide.md,Ultimate Prompting Guide,OK,File exists
docs\CONSOLIDATED_IMPROVEMENT_PLAN.md,WORKSTREAM_A_UX_UI.md,WORKSTREAM_A_UX_UI.md,OK,File exists
docs\CONSOLIDATED_IMPROVEMENT_PLAN.md,WORKSTREAM_B_CONTENT.md,WORKSTREAM_B_CONTENT.md,OK,File exists
docs\README.md,../CONTRIBUTING.md,CONTRIBUTING.md,OK,File exists
docs\README.md,../CONTRIBUTING.md,Contributing Guide,OK,File exists
docs\README.md,../agents/AGENTS_GUIDE.md,Agents Guide,OK,File exists
docs\README.md,../agents/AGENTS_GUIDE.md,Custom Agents,OK,File exists
docs\README.md,../agents/README.md,Pre-built Agents,OK,File exists
docs\README.md,../guides/domain-schemas.md,Domain Schemas,OK,File exists
docs\README.md,./analysis-results.md,Analysis Results,OK,File exists
docs\README.md,./analysis-results.md,View Results →,OK,File exists
docs\README.md,./best-practices.md,Best Practices,OK,File exists
docs\README.md,./getting-started.md,Getting Started Guide,OK,File exists
docs\README.md,./prompt-effectiveness-scoring-methodology.md,Prompt Effectiveness Scoring Methodology,OK,File exists
docs\README.md,./prompt-effectiveness-scoring-methodology.md,Read Methodology →,OK,File exists
docs\README.md,./prompt-effectiveness-scoring-methodology.md,Scoring Methodology,OK,File exists
docs\README.md,./ultimate-prompting-guide.md,Read Guide →,OK,File exists
docs\README.md,./ultimate-prompting-guide.md,Ultimate Prompting Guide,OK,File exists
docs\README.md,./ultimate-prompting-guide.md#1-chain-of-thought-debugging--root-cause-analysis,Chain-of-Thought Prompts,OK,File exists
docs\README.md,./ultimate-prompting-guide.md#best-practices-summary,Best Practices Summary,OK,File exists
docs\README.md,./ultimate-prompting-guide.md#claude-and-gpt,Advanced Techniques,OK,File exists
docs\README.md,./ultimate-prompting-guide.md#microsoft-365-copilot,Business Prompts,OK,File exists
docs\README.md,./ultimate-prompting-guide.md#prompt-patterns--templates,Prompt Patterns,OK,File exists
docs\README.md,./ultimate-prompting-guide.md#top-20-curated-prompts,Top Developer Prompts,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\CoVe.md,Chain-of-Verification (CoVe),OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\advanced-technique-research.md,Advanced Prompt Engineering Technique Re,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\chain-of-thought-concise.md,Chain-of-Thought: Concise Mode,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\chain-of-thought-debugging.md,Chain-of-Thought: Debugging & Root Cause,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\chain-of-thought-detailed.md,Chain-of-Thought: Detailed Mode,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\chain-of-thought-guide.md,Chain-of-Thought: Decision Guide,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\chain-of-thought-performance-analysis.md,Chain-of-Thought: Performance Analysis &,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\library-analysis-react.md,ReAct: Library Structure & Content Analy,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\library.md,ReAct: Large-Scale Prompt Library Analys,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\osint-research-react.md,ReAct: OSINT Research & Development,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\prompt-library-refactor-react.md,ToT-ReAct: Prompt Library Evaluation & R,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\rag-document-retrieval.md,RAG: Document Retrieval and Citation,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\react-doc-search-synthesis.md,ReAct: Document Search and Synthesis,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\react-knowledge-base-research.md,ReAct: OSINT/SOCMINT Knowledge Base Rese,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\react-tool-augmented.md,ReAct: Tool-Augmented Reasoning,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\reflection-self-critique.md,Reflection: Initial Answer + Self-Critiq,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\tree-of-thoughts-architecture-evaluator.md,Tree-of-Thoughts: Architecture Evaluator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\advanced\tree-of-thoughts-evaluator-reflection.md,ToT Evaluator: OSINT Resource Assessment,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\business-case-developer.md,Business Case Developer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\competitive-analysis-researcher.md,Competitive Analysis Researcher,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\competitive-intelligence-researcher.md,Competitive Intelligence Researcher,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\consumer-behavior-researcher.md,Consumer Behavior Researcher,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\data-analysis-insights.md,Data Analysis and Insights Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\data-analysis-specialist.md,Data Analysis Specialist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\data-quality-assessment.md,Data Quality Assessment,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\gap-analysis-expert.md,Gap Analysis Expert,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\industry-analysis-expert.md,Industry Analysis Expert,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\library-capability-radar.md,Library Capability Radar Chart Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\library-network-graph.md,Library Network Graph Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\library-structure-treemap.md,Library Structure Treemap Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\market-research-analyst.md,Market Research Analyst,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\metrics-and-kpi-designer.md,Metrics and KPI Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\process-optimization-consultant.md,Process Optimization Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\requirements-analysis-expert.md,Requirements Analysis Expert,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\stakeholder-requirements-gatherer.md,Stakeholder Requirements Gatherer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\trend-analysis-specialist.md,Trend Analysis Specialist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\user-experience-analyst.md,User Experience Analyst,OK,File exists
docs\SCORECARD.md,../prompts\prompts\analysis\workflow-designer.md,Workflow Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\agile-sprint-planner.md,Agile Sprint Planner,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\board-update.md,Board Update Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\budget-and-cost-controller.md,Budget and Cost Controller,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\business-process-reengineering.md,Business Process Reengineering,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\business-strategy-analysis.md,Business Strategy Analysis,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\change-management-coordinator.md,Change Management Coordinator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\client-presentation-designer.md,Client Presentation Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\cold-email-generator.md,Cold Email Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\competitive-analysis.md,Competitive Analysis Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\crisis-management-coordinator.md,Crisis Management Coordinator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\digital-transformation-advisor.md,Digital Transformation Advisor,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\due-diligence-analyst.md,Due Diligence Analyst,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\follow-up-email.md,Follow-Up Email Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\innovation-strategy-consultant.md,Innovation Strategy Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\interview-questions.md,Interview Questions Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\job-description-writer.md,Job Description Writer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\management-consulting-expert.md,Management Consulting Expert,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\market-entry-strategist.md,Market Entry Strategist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\meeting-facilitator.md,Meeting Facilitator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\meeting-summary.md,Meeting Summary Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\onboarding-checklist-creator.md,Onboarding Checklist Creator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\organizational-change-manager.md,Organizational Change Manager,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\performance-improvement-consultant.md,Performance Improvement Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\performance-review.md,Performance Review Writer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\pitch-deck-generator.md,Pitch Deck Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\project-closure-specialist.md,Project Closure Specialist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\project-documentation-manager.md,Project Documentation Manager,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\quality-assurance-planner.md,Quality Assurance Planner,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\resource-allocation-optimizer.md,Resource Allocation Optimizer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\risk-management-analyst.md,Risk Management Analyst,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\sales-objection-handler.md,Sales Objection Handler,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\stakeholder-communication-manager.md,Stakeholder Communication Manager,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\strategic-planning-consultant.md,Strategic Planning Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\team-performance-manager.md,Team Performance Manager,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\timeline-and-milestone-tracker.md,Timeline and Milestone Tracker,OK,File exists
docs\SCORECARD.md,../prompts\prompts\business\vendor-management-coordinator.md,Vendor Management Coordinator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\ad-copy-generator.md,Ad Copy Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\brand-voice-developer.md,Brand Voice Developer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\content-marketing-blog-post.md,Content Marketing Blog Post Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\email-newsletter-writer.md,Email Newsletter Writer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\headline-tagline-creator.md,Headline and Tagline Creator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\product-description-generator.md,Product Description Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\social-media-content-generator.md,Social Media Content Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\creative\video-script-writer.md,Video Script Writer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\api-design-consultant.md,API Design Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\cloud-migration-specialist.md,Cloud Migration Specialist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\code-generation-assistant.md,Code Generation Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\code-review-assistant.md,Code Review Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\code-review-expert-structured.md,Code Review Expert: Structured Output,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\code-review-expert.md,Code Review Expert,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\csharp-enterprise-standards-enforcer.md,C# Enterprise Standards Enforcer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\csharp-refactoring-assistant.md,C# Refactoring Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\data-pipeline-engineer.md,Data Pipeline Engineer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\database-schema-designer.md,Database Schema Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\devops-pipeline-architect.md,DevOps Pipeline Architect,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\documentation-generator.md,Documentation Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\dotnet-api-designer.md,.NET API Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\frontend-architecture-consultant.md,Frontend Architecture Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\legacy-system-modernization.md,Legacy System Modernization,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\microservices-architect.md,Microservices Architect,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\mid-level-developer-architecture-coach.md,Mid-Level Developer Architecture Coach,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\mobile-app-developer.md,Mobile App Developer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\performance-optimization-specialist.md,Performance Optimization Specialist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\refactoring-plan-designer.md,Refactoring Plan Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\security-code-auditor.md,Security Code Auditor,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\sql-query-analyzer.md,SQL Query Analyzer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\sql-security-standards-enforcer.md,SQL Security Standards Enforcer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\developers\test-automation-engineer.md,Test Automation Engineer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\access-control-reviewer.md,Access Control Reviewer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\ai-ml-privacy-risk-assessment.md,AI/ML Privacy Risk Assessment,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\compliance-policy-generator.md,Compliance Policy Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\data-classification-helper.md,Data Classification Helper,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\data-retention-policy.md,Data Retention Policy Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\data-subject-request-handler.md,Data Subject Request (DSR) Handler,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\gdpr-compliance-assessment.md,GDPR Compliance Assessment,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\hipaa-compliance-checker.md,HIPAA Compliance Checker,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\legal-contract-review.md,Legal: Contract Review Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\privacy-impact-assessment.md,Privacy Impact Assessment (DPIA) Generat,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\regulatory-change-analyzer.md,Regulatory Change Analyzer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\security-incident-response.md,Security: Incident Response Framework,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\soc2-audit-preparation.md,SOC 2 Audit Preparation Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\sox-audit-preparer.md,SOX Audit Preparer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\governance\vendor-security-review.md,Vendor Security Reviewer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-customer-feedback-analyzer.md,M365 Customer Feedback Analyzer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-daily-standup-assistant.md,M365 Daily Standup Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-data-insights-assistant.md,M365 Data Insights Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-designer-image-prompt-generator.md,M365 Designer Image Prompt Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-designer-infographic-brief.md,M365 Designer Infographic Brief,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-designer-social-media-kit.md,M365 Designer Social Media Kit,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-document-summarizer.md,M365 Document Summarizer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-email-triage-helper.md,M365 Email Triage Helper,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-excel-formula-expert.md,M365 Excel Formula Expert,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-handover-document-creator.md,M365 Handover Document Creator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-manager-sync-planner.md,M365 Manager Sync Planner,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-meeting-prep-brief.md,M365 Meeting Prep Brief,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-meeting-recap-assistant.md,M365 Meeting Recap Assistant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-personal-task-collector.md,M365 Personal Task Collector,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-presentation-outline-generator.md,M365 Presentation Outline Generator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-project-status-reporter.md,M365 Project Status Reporter,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-slide-content-refiner.md,M365 Slide Content Refiner,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-sway-document-to-story.md,M365 Sway Document to Story,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-sway-visual-newsletter.md,M365 Sway Visual Newsletter,OK,File exists
docs\SCORECARD.md,../prompts\prompts\m365\m365-weekly-review-coach.md,M365 Weekly Review Coach,OK,File exists
docs\SCORECARD.md,../prompts\prompts\self-consistency-reasoning.md,Self-Consistency Chain-of-Thought Reason,OK,File exists
docs\SCORECARD.md,../prompts\prompts\socmint\company-osint-investigation.md,Company OSINT Investigation,OK,File exists
docs\SCORECARD.md,../prompts\prompts\socmint\email-osint-investigation.md,Email OSINT Investigation,OK,File exists
docs\SCORECARD.md,../prompts\prompts\socmint\image-geolocation-analysis.md,Image Geolocation Analysis,OK,File exists
docs\SCORECARD.md,../prompts\prompts\socmint\social-media-profile-analysis.md,Social Media Profile Deep Analysis,OK,File exists
docs\SCORECARD.md,../prompts\prompts\socmint\socmint-investigator.md,SOCMINT Investigator,OK,File exists
docs\SCORECARD.md,../prompts\prompts\socmint\username-pivot-investigation.md,Username Pivot Investigation,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\api-architecture-designer.md,API Architecture Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\blockchain-architecture-specialist.md,Blockchain Architecture Specialist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\cloud-architecture-consultant.md,Cloud Architecture Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\compliance-architecture-designer.md,Compliance Architecture Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\data-architecture-designer.md,Data Architecture Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\devops-architecture-planner.md,DevOps Architecture Planner,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\disaster-recovery-architect.md,Disaster Recovery Architect,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\enterprise-integration-architect.md,Enterprise Integration Architect,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\frontier-agent-deep-research.md,Office Agent Deep Research: Modern Promp,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\iot-architecture-designer.md,IoT Architecture Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\legacy-modernization-architect.md,Legacy Modernization Architect,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\library-visual-audit.md,Library Visual & Formatting Audit,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\m365-copilot-research-agent.md,M365 Copilot Frontier Research Agent,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\microservices-architecture-expert.md,Microservices Architecture Expert,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\mobile-architecture-consultant.md,Mobile Architecture Consultant,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\office-agent-technical-specs.md,Office Agent Technical Specifications,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\performance-architecture-optimizer.md,Performance Architecture Optimizer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\prompt-quality-evaluator.md,Prompt Quality Evaluator: Meta-Evaluatio,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\security-architecture-specialist.md,Security Architecture Specialist,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\solution-architecture-designer.md,Solution Architecture Designer,OK,File exists
docs\SCORECARD.md,../prompts\prompts\system\tree-of-thoughts-repository-evaluator.md,Tree-of-Thoughts Repository Evaluator fo,OK,File exists
docs\SCORECARD.md,../tools/rubrics/prompt-scoring.yaml,`tools/rubrics/prompt-scoring.yaml`,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/chain-of-thought-concise.md,chain-of-thought-concise.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/chain-of-thought-debugging.md,chain-of-thought-debugging.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/chain-of-thought-detailed.md,chain-of-thought-detailed.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/chain-of-thought-performance-analysis.md,chain-of-thought-performance-analysis.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/rag-document-retrieval.md,rag-document-retrieval.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/react-doc-search-synthesis.md,react-doc-search-synthesis.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/react-tool-augmented.md,react-tool-augmented.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/reflection-self-critique.md,reflection-self-critique.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/tree-of-thoughts-architecture-evaluator.md,tree-of-thoughts-architecture-evaluator.md,OK,File exists
docs\advanced-techniques.md,../prompts/advanced/tree-of-thoughts-evaluator-reflection.md,tree-of-thoughts-evaluator-reflection.md,OK,File exists
docs\advanced-techniques.md,best-practices.md,Best Practices,OK,File exists
docs\advanced-techniques.md,prompt-effectiveness-scoring-methodology.md,Prompt Effectiveness Methodology,OK,File exists
docs\advanced-techniques.md,ultimate-prompting-guide.md,Ultimate Prompting Guide,OK,File exists
docs\best-practices.md,advanced-techniques.md,Advanced Techniques,OK,File exists
docs\best-practices.md,prompt-effectiveness-scoring-methodology.md,Prompt Effectiveness Methodology,OK,File exists
docs\best-practices.md,ultimate-prompting-guide.md,Ultimate Prompting Guide,OK,File exists
